MICROEXP	SIMNAME	SELCOEF	TIMEMUT
MEDIUMsLATEt	1	0.03	325
MEDIUMsLATEt	2	0.03	325
MEDIUMsLATEt	3	0.03	325
MEDIUMsLATEt	4	0.03	325
MEDIUMsLATEt	5	0.03	325
MEDIUMsLATEt	6	0.03	325
MEDIUMsLATEt	7	0.03	325
MEDIUMsLATEt	8	0.03	325
MEDIUMsLATEt	9	0.03	325
MEDIUMsLATEt	10	0.03	325
MEDIUMsLATEt	11	0.03	325
MEDIUMsLATEt	12	0.03	325
MEDIUMsLATEt	13	0.03	325
MEDIUMsLATEt	14	0.03	325
MEDIUMsLATEt	15	0.03	325
MEDIUMsLATEt	16	0.03	325
MEDIUMsLATEt	17	0.03	325
MEDIUMsLATEt	18	0.03	325
MEDIUMsLATEt	19	0.03	325
MEDIUMsLATEt	20	0.03	325
MEDIUMsLATEt	21	0.03	325
MEDIUMsLATEt	22	0.03	325
MEDIUMsLATEt	23	0.03	325
MEDIUMsLATEt	24	0.03	325
MEDIUMsLATEt	25	0.03	325
MEDIUMsLATEt	26	0.03	325
MEDIUMsLATEt	27	0.03	325
MEDIUMsLATEt	28	0.03	325
MEDIUMsLATEt	29	0.03	325
MEDIUMsLATEt	30	0.03	325
MEDIUMsLATEt	31	0.03	325
MEDIUMsLATEt	32	0.03	325
MEDIUMsLATEt	33	0.03	325
MEDIUMsLATEt	34	0.03	325
MEDIUMsLATEt	35	0.03	325
MEDIUMsLATEt	36	0.03	325
MEDIUMsLATEt	37	0.03	325
MEDIUMsLATEt	38	0.03	325
MEDIUMsLATEt	39	0.03	325
MEDIUMsLATEt	40	0.03	325
MEDIUMsLATEt	41	0.03	325
MEDIUMsLATEt	42	0.03	325
MEDIUMsLATEt	43	0.03	325
MEDIUMsLATEt	44	0.03	325
MEDIUMsLATEt	45	0.03	325
MEDIUMsLATEt	46	0.03	325
MEDIUMsLATEt	47	0.03	325
MEDIUMsLATEt	48	0.03	325
MEDIUMsLATEt	49	0.03	325
MEDIUMsLATEt	50	0.03	325
MEDIUMsLATEt	51	0.03	325
MEDIUMsLATEt	52	0.03	325
MEDIUMsLATEt	53	0.03	325
MEDIUMsLATEt	54	0.03	325
MEDIUMsLATEt	55	0.03	325
MEDIUMsLATEt	56	0.03	325
MEDIUMsLATEt	57	0.03	325
MEDIUMsLATEt	58	0.03	325
MEDIUMsLATEt	59	0.03	325
MEDIUMsLATEt	60	0.03	325
MEDIUMsLATEt	61	0.03	325
MEDIUMsLATEt	62	0.03	325
MEDIUMsLATEt	63	0.03	325
MEDIUMsLATEt	64	0.03	325
MEDIUMsLATEt	65	0.03	325
MEDIUMsLATEt	66	0.03	325
MEDIUMsLATEt	67	0.03	325
MEDIUMsLATEt	68	0.03	325
MEDIUMsLATEt	69	0.03	325
MEDIUMsLATEt	70	0.03	325
MEDIUMsLATEt	71	0.03	325
MEDIUMsLATEt	72	0.03	325
MEDIUMsLATEt	73	0.03	325
MEDIUMsLATEt	74	0.03	325
MEDIUMsLATEt	75	0.03	325
MEDIUMsLATEt	76	0.03	325
MEDIUMsLATEt	77	0.03	325
MEDIUMsLATEt	78	0.03	325
MEDIUMsLATEt	79	0.03	325
MEDIUMsLATEt	80	0.03	325
MEDIUMsLATEt	81	0.03	325
MEDIUMsLATEt	82	0.03	325
MEDIUMsLATEt	83	0.03	325
MEDIUMsLATEt	84	0.03	325
MEDIUMsLATEt	85	0.03	325
MEDIUMsLATEt	86	0.03	325
MEDIUMsLATEt	87	0.03	325
MEDIUMsLATEt	88	0.03	325
MEDIUMsLATEt	89	0.03	325
MEDIUMsLATEt	90	0.03	325
MEDIUMsLATEt	91	0.03	325
MEDIUMsLATEt	92	0.03	325
MEDIUMsLATEt	93	0.03	325
MEDIUMsLATEt	94	0.03	325
MEDIUMsLATEt	95	0.03	325
MEDIUMsLATEt	96	0.03	325
MEDIUMsLATEt	97	0.03	325
MEDIUMsLATEt	98	0.03	325
MEDIUMsLATEt	99	0.03	325
MEDIUMsLATEt	100	0.03	325
MEDIUMsLATEt	101	0.03	325
MEDIUMsLATEt	102	0.03	325
MEDIUMsLATEt	103	0.03	325
MEDIUMsLATEt	104	0.03	325
MEDIUMsLATEt	105	0.03	325
MEDIUMsLATEt	106	0.03	325
MEDIUMsLATEt	107	0.03	325
MEDIUMsLATEt	108	0.03	325
MEDIUMsLATEt	109	0.03	325
MEDIUMsLATEt	110	0.03	325
MEDIUMsLATEt	111	0.03	325
MEDIUMsLATEt	112	0.03	325
MEDIUMsLATEt	113	0.03	325
MEDIUMsLATEt	114	0.03	325
MEDIUMsLATEt	115	0.03	325
MEDIUMsLATEt	116	0.03	325
MEDIUMsLATEt	117	0.03	325
MEDIUMsLATEt	118	0.03	325
MEDIUMsLATEt	119	0.03	325
MEDIUMsLATEt	120	0.03	325
MEDIUMsLATEt	121	0.03	325
MEDIUMsLATEt	122	0.03	325
MEDIUMsLATEt	123	0.03	325
MEDIUMsLATEt	124	0.03	325
MEDIUMsLATEt	125	0.03	325
MEDIUMsLATEt	126	0.03	325
MEDIUMsLATEt	127	0.03	325
MEDIUMsLATEt	128	0.03	325
MEDIUMsLATEt	129	0.03	325
MEDIUMsLATEt	130	0.03	325
MEDIUMsLATEt	131	0.03	325
MEDIUMsLATEt	132	0.03	325
MEDIUMsLATEt	133	0.03	325
MEDIUMsLATEt	134	0.03	325
MEDIUMsLATEt	135	0.03	325
MEDIUMsLATEt	136	0.03	325
MEDIUMsLATEt	137	0.03	325
MEDIUMsLATEt	138	0.03	325
MEDIUMsLATEt	139	0.03	325
MEDIUMsLATEt	140	0.03	325
MEDIUMsLATEt	141	0.03	325
MEDIUMsLATEt	142	0.03	325
