MICROEXP	SIMNAME	SELCOEF	TIMEMUT
LARGEsVERYEARLYt	1	0.04	125
LARGEsVERYEARLYt	2	0.04	125
LARGEsVERYEARLYt	3	0.04	125
LARGEsVERYEARLYt	4	0.04	125
LARGEsVERYEARLYt	5	0.04	125
LARGEsVERYEARLYt	6	0.04	125
LARGEsVERYEARLYt	7	0.04	125
LARGEsVERYEARLYt	8	0.04	125
LARGEsVERYEARLYt	9	0.04	125
LARGEsVERYEARLYt	10	0.04	125
LARGEsVERYEARLYt	11	0.04	125
LARGEsVERYEARLYt	12	0.04	125
LARGEsVERYEARLYt	13	0.04	125
LARGEsVERYEARLYt	14	0.04	125
LARGEsVERYEARLYt	15	0.04	125
LARGEsVERYEARLYt	16	0.04	125
LARGEsVERYEARLYt	17	0.04	125
LARGEsVERYEARLYt	18	0.04	125
LARGEsVERYEARLYt	19	0.04	125
LARGEsVERYEARLYt	20	0.04	125
LARGEsVERYEARLYt	21	0.04	125
LARGEsVERYEARLYt	22	0.04	125
LARGEsVERYEARLYt	23	0.04	125
LARGEsVERYEARLYt	24	0.04	125
LARGEsVERYEARLYt	25	0.04	125
LARGEsVERYEARLYt	26	0.04	125
LARGEsVERYEARLYt	27	0.04	125
LARGEsVERYEARLYt	28	0.04	125
LARGEsVERYEARLYt	29	0.04	125
LARGEsVERYEARLYt	30	0.04	125
LARGEsVERYEARLYt	31	0.04	125
LARGEsVERYEARLYt	32	0.04	125
LARGEsVERYEARLYt	33	0.04	125
LARGEsVERYEARLYt	34	0.04	125
LARGEsVERYEARLYt	35	0.04	125
LARGEsVERYEARLYt	36	0.04	125
LARGEsVERYEARLYt	37	0.04	125
LARGEsVERYEARLYt	38	0.04	125
LARGEsVERYEARLYt	39	0.04	125
LARGEsVERYEARLYt	40	0.04	125
LARGEsVERYEARLYt	41	0.04	125
LARGEsVERYEARLYt	42	0.04	125
LARGEsVERYEARLYt	43	0.04	125
LARGEsVERYEARLYt	44	0.04	125
LARGEsVERYEARLYt	45	0.04	125
LARGEsVERYEARLYt	46	0.04	125
LARGEsVERYEARLYt	47	0.04	125
LARGEsVERYEARLYt	48	0.04	125
LARGEsVERYEARLYt	49	0.04	125
LARGEsVERYEARLYt	50	0.04	125
LARGEsVERYEARLYt	51	0.04	125
LARGEsVERYEARLYt	52	0.04	125
LARGEsVERYEARLYt	53	0.04	125
LARGEsVERYEARLYt	54	0.04	125
LARGEsVERYEARLYt	55	0.04	125
LARGEsVERYEARLYt	56	0.04	125
LARGEsVERYEARLYt	57	0.04	125
LARGEsVERYEARLYt	58	0.04	125
LARGEsVERYEARLYt	59	0.04	125
LARGEsVERYEARLYt	60	0.04	125
LARGEsVERYEARLYt	61	0.04	125
LARGEsVERYEARLYt	62	0.04	125
LARGEsVERYEARLYt	63	0.04	125
LARGEsVERYEARLYt	64	0.04	125
LARGEsVERYEARLYt	65	0.04	125
LARGEsVERYEARLYt	66	0.04	125
LARGEsVERYEARLYt	67	0.04	125
LARGEsVERYEARLYt	68	0.04	125
LARGEsVERYEARLYt	69	0.04	125
LARGEsVERYEARLYt	70	0.04	125
LARGEsVERYEARLYt	71	0.04	125
LARGEsVERYEARLYt	72	0.04	125
LARGEsVERYEARLYt	73	0.04	125
LARGEsVERYEARLYt	74	0.04	125
LARGEsVERYEARLYt	75	0.04	125
LARGEsVERYEARLYt	76	0.04	125
LARGEsVERYEARLYt	77	0.04	125
LARGEsVERYEARLYt	78	0.04	125
LARGEsVERYEARLYt	79	0.04	125
LARGEsVERYEARLYt	80	0.04	125
LARGEsVERYEARLYt	81	0.04	125
LARGEsVERYEARLYt	82	0.04	125
LARGEsVERYEARLYt	83	0.04	125
LARGEsVERYEARLYt	84	0.04	125
LARGEsVERYEARLYt	85	0.04	125
LARGEsVERYEARLYt	86	0.04	125
LARGEsVERYEARLYt	87	0.04	125
LARGEsVERYEARLYt	88	0.04	125
LARGEsVERYEARLYt	89	0.04	125
LARGEsVERYEARLYt	90	0.04	125
LARGEsVERYEARLYt	91	0.04	125
LARGEsVERYEARLYt	92	0.04	125
LARGEsVERYEARLYt	93	0.04	125
LARGEsVERYEARLYt	94	0.04	125
LARGEsVERYEARLYt	95	0.04	125
LARGEsVERYEARLYt	96	0.04	125
LARGEsVERYEARLYt	97	0.04	125
LARGEsVERYEARLYt	98	0.04	125
LARGEsVERYEARLYt	99	0.04	125
LARGEsVERYEARLYt	100	0.04	125
LARGEsVERYEARLYt	101	0.04	125
LARGEsVERYEARLYt	102	0.04	125
LARGEsVERYEARLYt	103	0.04	125
LARGEsVERYEARLYt	104	0.04	125
LARGEsVERYEARLYt	105	0.04	125
LARGEsVERYEARLYt	106	0.04	125
LARGEsVERYEARLYt	107	0.04	125
LARGEsVERYEARLYt	108	0.04	125
LARGEsVERYEARLYt	109	0.04	125
LARGEsVERYEARLYt	110	0.04	125
LARGEsVERYEARLYt	111	0.04	125
LARGEsVERYEARLYt	112	0.04	125
LARGEsVERYEARLYt	113	0.04	125
LARGEsVERYEARLYt	114	0.04	125
LARGEsVERYEARLYt	115	0.04	125
LARGEsVERYEARLYt	116	0.04	125
LARGEsVERYEARLYt	117	0.04	125
LARGEsVERYEARLYt	118	0.04	125
LARGEsVERYEARLYt	119	0.04	125
LARGEsVERYEARLYt	120	0.04	125
LARGEsVERYEARLYt	121	0.04	125
LARGEsVERYEARLYt	122	0.04	125
LARGEsVERYEARLYt	123	0.04	125
LARGEsVERYEARLYt	124	0.04	125
LARGEsVERYEARLYt	125	0.04	125
LARGEsVERYEARLYt	126	0.04	125
LARGEsVERYEARLYt	127	0.04	125
LARGEsVERYEARLYt	128	0.04	125
LARGEsVERYEARLYt	129	0.04	125
LARGEsVERYEARLYt	130	0.04	125
LARGEsVERYEARLYt	131	0.04	125
LARGEsVERYEARLYt	132	0.04	125
LARGEsVERYEARLYt	133	0.04	125
LARGEsVERYEARLYt	134	0.04	125
LARGEsVERYEARLYt	135	0.04	125
LARGEsVERYEARLYt	136	0.04	125
LARGEsVERYEARLYt	137	0.04	125
LARGEsVERYEARLYt	138	0.04	125
LARGEsVERYEARLYt	139	0.04	125
LARGEsVERYEARLYt	140	0.04	125
LARGEsVERYEARLYt	141	0.04	125
LARGEsVERYEARLYt	142	0.04	125
LARGEsVERYEARLYt	143	0.04	125
LARGEsVERYEARLYt	144	0.04	125
LARGEsVERYEARLYt	145	0.04	125
LARGEsVERYEARLYt	146	0.04	125
LARGEsVERYEARLYt	147	0.04	125
LARGEsVERYEARLYt	148	0.04	125
LARGEsVERYEARLYt	149	0.04	125
LARGEsVERYEARLYt	150	0.04	125
LARGEsVERYEARLYt	151	0.04	125
