PARAM	TRUE	INITEST	CORREST	CORRLOW	CORRUPP
0.03	0.03	0.027551925388731205	0.02819602706463525	0.02819602706463525	0.02819602706463525
0.03	0.03	0.03131777967596751	0.030410898715284573	0.030410898715284573	0.030410898715284573
0.03	0.03	0.027533020523790953	0.031101603731305088	0.031101603731305088	0.031101603731305088
0.03	0.03	0.030560935495810376	0.03431287453211196	0.03431287453211196	0.03431287453211196
0.03	0.03	0.02953389518279823	0.027726697347185143	0.027726697347185143	0.027726697347185143
0.03	0.03	0.031882145085944696	0.030443724543595896	0.030443724543595896	0.030443724543595896
0.03	0.03	0.03318301893918196	0.03365969625380329	0.03365969625380329	0.03365969625380329
0.03	0.03	0.03294306980982594	0.03202345500878683	0.03202345500878683	0.03202345500878683
0.03	0.03	0.030624575848226705	0.03365951075751976	0.03365951075751976	0.03365951075751976
0.03	0.03	0.02814882854326265	0.028818205794955313	0.028818205794955313	0.028818205794955313
0.03	0.03	0.02906132874040854	0.028223799951524912	0.028223799951524912	0.028223799951524912
0.03	0.03	0.02982991256056072	0.030782949831719354	0.030782949831719354	0.030782949831719354
0.03	0.03	0.030862079905168326	0.03236431266021307	0.03236431266021307	0.03236431266021307
0.03	0.03	0.03137594141181211	0.031249380486418815	0.031249380486418815	0.031249380486418815
0.03	0.03	0.028845726918316095	0.026269270439102786	0.026269270439102786	0.026269270439102786
0.03	0.03	0.030898971295274552	0.030215878587859388	0.030215878587859388	0.030215878587859388
0.03	0.03	0.029241736365024917	0.030505974198640623	0.030505974198640623	0.030505974198640623
0.03	0.03	0.030960097210792577	0.031232459718690195	0.031232459718690195	0.031232459718690195
0.03	0.03	0.02818267120530242	0.024897169614904714	0.024897169614904714	0.024897169614904714
0.03	0.03	0.030021533239500315	0.02844969551317724	0.02844969551317724	0.02844969551317724
0.03	0.03	0.029760387980423984	0.030505174552731378	0.030505174552731378	0.030505174552731378
0.03	0.03	0.03154805779618842	0.03429733286835168	0.03429733286835168	0.03429733286835168
0.03	0.03	0.02909167271371984	0.03169828028776507	0.03169828028776507	0.03169828028776507
0.03	0.03	0.03192571561056626	0.030475137803696616	0.030475137803696616	0.030475137803696616
0.03	0.03	0.02901560140811659	0.032168412231719366	0.032168412231719366	0.032168412231719366
0.03	0.03	0.030048549794030908	0.03320895169501012	0.03320895169501012	0.03320895169501012
0.03	0.03	0.033367029949498334	0.03371348788845353	0.03371348788845353	0.03371348788845353
0.03	0.03	0.029591103857427414	0.02982236056473125	0.02982236056473125	0.02982236056473125
0.03	0.03	0.029690274067907297	0.03114737214844557	0.03114737214844557	0.03114737214844557
0.03	0.03	0.029912578477063006	0.02796488085079333	0.02796488085079333	0.02796488085079333
0.03	0.03	0.028350591230897865	0.029259823030734693	0.029259823030734693	0.029259823030734693
0.03	0.03	0.030382406850279604	0.03086595617126704	0.03086595617126704	0.03086595617126704
0.03	0.03	0.03008891154242985	0.029144958848630026	0.029144958848630026	0.029144958848630026
0.03	0.03	0.028608284641032176	0.029485056232728374	0.029485056232728374	0.029485056232728374
0.03	0.03	0.03298190753343772	0.03255056460872594	0.03255056460872594	0.03255056460872594
0.03	0.03	0.030035052405436368	0.033142649768243174	0.033142649768243174	0.033142649768243174
0.03	0.03	0.028543795695655464	0.029391821531777503	0.029391821531777503	0.029391821531777503
0.03	0.03	0.028266674398314384	0.02687128796191692	0.02687128796191692	0.02687128796191692
0.03	0.03	0.02915202716697846	0.02953671742252481	0.02953671742252481	0.02953671742252481
0.03	0.03	0.03068773470289496	0.031193135221053315	0.031193135221053315	0.031193135221053315
0.03	0.03	0.026927455042629566	0.02371248643322144	0.02371248643322144	0.02371248643322144
0.03	0.03	0.030862079905168326	0.03186660046781176	0.03186660046781176	0.03186660046781176
0.03	0.03	0.030825025264227396	0.031038630703833586	0.031038630703833586	0.031038630703833586
0.03	0.03	0.030062025308687883	0.02931141375975656	0.02931141375975656	0.02931141375975656
0.03	0.03	0.02974641242527816	0.031046715212781798	0.031046715212781798	0.031046715212781798
0.03	0.03	0.03015574881431932	0.03307588110079792	0.03307588110079792	0.03307588110079792
0.03	0.03	0.028830108548578846	0.027816469565771263	0.027816469565771263	0.027816469565771263
0.03	0.03	0.031705602289386965	0.03341677619300869	0.03341677619300869	0.03341677619300869
0.03	0.03	0.028527594576102114	0.02739312831749238	0.02739312831749238	0.02739312831749238
0.03	0.03	0.02813185483965657	0.028320907931082384	0.028320907931082384	0.028320907931082384
0.03	0.03	0.027749327274137224	0.026513679637723997	0.026513679637723997	0.026513679637723997
0.03	0.03	0.032360005249618545	0.03371133162501056	0.03371133162501056	0.03371133162501056
0.03	0.03	0.030278055822409587	0.03442964043293442	0.03442964043293442	0.03442964043293442
0.03	0.03	0.032349668994813154	0.03421541670100818	0.03421541670100818	0.03421541670100818
0.03	0.03	0.03068773470289496	0.029838777526722267	0.029838777526722267	0.029838777526722267
0.03	0.03	0.02851136166199132	0.02902793090512145	0.02902793090512145	0.02902793090512145
0.03	0.03	0.027422708415907708	0.02766674202847496	0.02766674202847496	0.02766674202847496
0.03	0.03	0.03048392128861813	0.029862837630967202	0.029862837630967202	0.029862837630967202
0.03	0.03	0.03106901248699	0.03128827846756284	0.03128827846756284	0.03128827846756284
0.03	0.03	0.029046114647627116	0.029875853428473192	0.029875853428473192	0.029875853428473192
0.03	0.03	0.030535342964374764	0.032178280650415336	0.032178280650415336	0.032178280650415336
0.03	0.03	0.027570798858993252	0.028885998740501437	0.028885998740501437	0.028885998740501437
0.03	0.03	0.029816053936590394	0.02899486205404273	0.02899486205404273	0.02899486205404273
0.03	0.03	0.02985755934252489	0.029720690299284532	0.029720690299284532	0.029720690299284532
0.03	0.03	0.030129077772065842	0.03179568505774849	0.03179568505774849	0.03179568505774849
0.03	0.03	0.030825025264227396	0.03315495368928999	0.03315495368928999	0.03315495368928999
0.03	0.03	0.03141064716827384	0.030205416450103204	0.030205416450103204	0.030205416450103204
0.03	0.03	0.030021533239500315	0.031119688905200348	0.031119688905200348	0.031119688905200348
0.03	0.03	0.03246296993505996	0.03309857176587962	0.03309857176587962	0.03309857176587962
0.03	0.03	0.027273367016000475	0.028819517929594737	0.028819517929594737	0.028819517929594737
0.03	0.03	0.02909167271371984	0.03149443582086921	0.03149443582086921	0.03149443582086921
0.03	0.03	0.029953604029697815	0.02989921619293713	0.02989921619293713	0.02989921619293713
0.03	0.03	0.031422183397529405	0.03137619399935868	0.03137619399935868	0.03137619399935868
0.03	0.03	0.029301003760540012	0.02960170510909885	0.02960170510909885	0.02960170510909885
0.03	0.03	0.031081027144474447	0.0301498582517766	0.0301498582517766	0.0301498582517766
0.03	0.03	0.028012050203298576	0.027480304710941688	0.027480304710941688	0.027480304710941688
0.03	0.03	0.02504376612126993	0.02664832882226921	0.02664832882226921	0.02664832882226921
0.03	0.03	0.02706363930970608	0.023918443851935606	0.023918443851935606	0.023918443851935606
0.03	0.03	0.028672274145173277	0.032474736919438	0.032474736919438	0.032474736919438
0.03	0.03	0.029271423617851344	0.030793519961565465	0.030793519961565465	0.030793519961565465
0.03	0.03	0.027837842839843873	0.026752308105887464	0.026752308105887464	0.026752308105887464
0.03	0.03	0.02947628676541515	0.029845770772000454	0.029845770772000454	0.029845770772000454
0.03	0.03	0.030725401708217314	0.030662997954676835	0.030662997954676835	0.030662997954676835
0.03	0.03	0.029000302411981174	0.02780500966540364	0.02780500966540364	0.02780500966540364
0.03	0.03	0.029885114323211802	0.027651144094227004	0.027651144094227004	0.027651144094227004
0.03	0.03	0.02889240527833419	0.027249467592293613	0.027249467592293613	0.027249467592293613
0.03	0.03	0.029374492439177884	0.03251478253248012	0.03251478253248012	0.03251478253248012
0.03	0.03	0.028400165045137614	0.03080479068998194	0.03080479068998194	0.03080479068998194
0.03	0.03	0.028367148508373755	0.027522354915017328	0.027522354915017328	0.027522354915017328
0.03	0.03	0.030434077497357936	0.02989588601796381	0.02989588601796381	0.02989588601796381
