NAME	CHROM	MINIBD	MAXIBD	BPCENTER	CMCENTER	BPLEFTCENTER	BPRIGHTCENTER
hit1	2	1750	5610	135020000	142.042354516731	132900000	139240000
hit2	6	1779	4776	30260000	49.16345926523183	24400000	35740000
hit3	15	1790	3150	31180000	15.424508242639195	30320000	32200000
hit4	5	1772	1936	33820000	53.09045162479116	32680000	34060000
hit5	12	1767	1860	52980000	64.03956670189663	50540000	55700000
hit6	6	1692	1843	105860000	106.1660429814947	103560000	108360000
hit7	16	1695	1821	17740000	36.03346813103173	15180000	19960000
hit8	1	1698	1794	205920000	203.82929063082275	205500000	206860000
hit9	15	1706	1787	27840000	9.580297442610984	25740000	30400000
