TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG.1	UPP	COV	AF1	TRUETIME1	LOWTIME1	MEDTIME1	UPPTIME1	AF2	TRUETIME2	LOWTIME2	MEDTIME2	UPPTIME2
ALLELEFREQ	0.15	0.03	0.0300982881859643	-9.828818596438472e-05	0.0244512868422823	0.0300982881859643	0.0357452895296464	0.9707	0.05	41	51	41	35	0.01	97	119	97	82
ALLELEFREQ	0.25	0.03	0.0300436824046962	-4.368240469624501e-05	0.0256626278571122	0.0300436824046962	0.0344247369522802	0.9531	0.05	63	73	63	55	0.01	119	138	119	104
ALLELEFREQ	0.5	0.03	0.0299981601622906	1.8398377093359344e-06	0.026675610580709	0.0299981601622906	0.0333207097438723	0.9489	0.05	100	112	100	90	0.01	156	175	156	141
ALLELEFREQ	0.75	0.03	0.0300148571452916	-1.4857145291639897e-05	0.0271163688517371	0.0300148571452916	0.0329133454388461	0.9519	0.05	137	152	137	125	0.01	193	213	193	176
