TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG	UPP	COV
SV	0.1	0.03	0.03002425713130939	-2.4257131309390195e-05	0.02270937133596131	0.03002425713130939	0.037339142926657465	0.9457
SV	0.05	0.03	0.030032902637776134	-3.290263777613531e-05	0.025353601070627375	0.030032902637776134	0.0347122042049249	0.9459
SV	0.025	0.03	0.03004542504968664	-4.542504968664193e-05	0.026400436976199246	0.03004542504968664	0.033690413123174036	0.9488
SV	0.01	0.03	0.03001733623534777	-1.733623534777226e-05	0.026830440386853803	0.03001733623534777	0.033204232083841746	0.9492
SV	0.0	0.03	0.030008801279366146	-8.801279366147524e-06	0.02668053037282479	0.030008801279366146	0.033337072185907486	0.9504
