TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG	UPP	COV
MISDOM	m	0.03	0.022558051932124054	0.007441948067875945	0.01916950623151481	0.022558051932124054	0.0259465976327333	0.014
MISDOM	a	0.03	0.022701868658615065	0.007298131341384934	0.019300226015858863	0.022701868658615065	0.026103511301371257	0.0159
MISDOM	d	0.03	0.030131538271029365	-0.0001315382710293661	0.025955292606249066	0.030131538271029365	0.03430778393580967	0.9724
MISDOM	r	0.03	0.10182088590872311	-0.07182088590872311	0.07819354571670142	0.10182088590872311	0.1254482261007448	0.0021
