TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG.1	UPP	COV	AF1	TRUETIME1	LOWTIME1	MEDTIME1	UPPTIME1	AF2	TRUETIME2	LOWTIME2	MEDTIME2	UPPTIME2
TAU	0	0.03	0.0300036385153741	-3.63851537414292e-06	0.0266789069998383	0.0300036385153741	0.0333283700309099	0.9541	0.05	100	112	100	90	0.01	156	175	156	141
TAU	10	0.03	0.0300137368073872	-1.3736807387296213e-05	0.0263266572163857	0.0300137368073872	0.0337008163983887	0.9568	0.05	100	114	100	89	0.01	156	177	156	139
TAU	20	0.03	0.0300521502077773	-5.215020777731352e-05	0.0258046747318985	0.0300521502077773	0.0342996256836561	0.9652	0.05	100	116	100	88	0.01	156	181	156	137
TAU	50	0.03	0.0310744663767765	-0.0010744663767765	0.0195216562193156	0.0310744663767765	0.0426272765342375	0.9718	0.05	100	153	97	71	0.01	156	238	151	111
TAU	100	0.03	0.017668246285506	0.0123317537144939	-0.0099172981874714	0.017668246285506	0.0452537907584834	0.5039	0.05	100	1001	169	67	0.01	156	1001	263	104
