TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG	UPP	COV
TAU	0	0.03	0.030003638515374142	-3.63851537414292e-06	0.026678906999838343	0.030003638515374142	0.03332837003090995	0.9541
TAU	10	0.03	0.030013736807387295	-1.3736807387296213e-05	0.026326657216385798	0.030013736807387295	0.03370081639838878	0.9568
TAU	20	0.03	0.030052150207777312	-5.215020777731352e-05	0.025804674731898535	0.030052150207777312	0.0342996256836561	0.9652
TAU	50	0.03	0.031074466376776595	-0.0010744663767765956	0.019521656219315633	0.031074466376776595	0.042627276534237556	0.9718
TAU	100	0.03	0.017668246285506013	0.012331753714493986	-0.009917298187471493	0.017668246285506013	0.045253790758483466	0.5039
