TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG	UPP	COV
CM	1.0	0.03	0.02997886624372223	2.1133756277769145e-05	0.02008074091604623	0.02997886624372223	0.03987699157139822	0.926
CM	2.0	0.03	0.03001074653592135	-1.0746535921351413e-05	0.02436380325519796	0.03001074653592135	0.035657689816644744	0.9515
CM	3.0	0.03	0.030022172191692027	-2.2172191692027693e-05	0.026696585194415173	0.030022172191692027	0.03334775918896888	0.9512
CM	4.0	0.03	0.03103486085656921	-0.00103486085656921	0.02153898270672353	0.03103486085656921	0.04053073900641488	0.973
