POS	AAF	SELCOEF	ISWEEPSELCOEF	ISWEEPRANK	ISWEEPAAF	ISWEEPLOC	ISWEEPRANKMEAN	ISWEEPAAFMEAN	ISWEEPLOCMEAN	ISWEEPRANKMODE	ISWEEPAAFMODE	ISWEEPLOCMODE	ISWEEPRANKMEDIAN	ISWEEPAAFMEDIAN	ISWEEPLOCMEDIAN
3999999	0.5986	0.035	0.0336698009512002	1	0.597104	4048133.22	1	0.6065699999999999	4031004.82	8	0.5755039999999999	4091037.56	1	0.5920479999999999	4056460.52
3999999	0.8537	0.035	0.03189811196443391	1	0.781714	3965446.28	22	0.7776360000000001	3951436.1	42	0.7742359999999999	3909902.1	22	0.7776360000000001	3951436.1
3999999	0.2997	0.035	0.035087836069642254	1	0.29489	4015906.86	9	0.274328	3898707.04	11	0.303574	4066769.84	15	0.26184	3855795.16
3999999	0.2527	0.035	0.038522387400530295	1	0.22458599999999998	3960683.2	12	0.223248	4061631.26	1	0.22458599999999998	3960683.2	12	0.22747	4072216.86
3999999	0.3313	0.035	0.034593643738691116	1	0.38220400000000004	3933096.58	1	0.38220400000000004	3933096.58	1	0.38711999999999996	3939030.86	1	0.38260400000000006	3935070.74
3999999	0.6292	0.035	0.03286315711790441	1	0.5738119999999999	4014327.58	4	0.56879	3956948.82	1	0.5738119999999999	4014327.58	7	0.5780500000000001	3936916.0
3999999	0.3311	0.035	0.03387525309790421	1	0.30670800000000004	3856348.34	2	0.321248	3954406.8	2	0.32329399999999997	3936125.96	2	0.325764	3979668.42
3999999	0.8714	0.035	0.02942716036539322	1	0.7396280000000001	3820786.74	10	0.7562820000000001	3837610.92	1	0.735544	3929604.22	10	0.7562820000000001	3837610.92
3999999	0.6699	0.035	0.035079841923567986	1	0.59577	3921617.92	1	0.5979019999999999	3903103.88	1	0.59577	3921617.92	1	0.6054499999999999	3897405.68
3999999	0.7749	0.035	0.03187172254451968	1	0.700472	4114405.96	1	0.7002940000000001	4114656.72	1	0.7106020000000001	4101744.74	3	0.6971299999999999	4117711.18
3999999	0.6987	0.035	0.03252921491284735	1	0.6852839999999999	3975027.74	2	0.6657959999999999	3932925.28	22	0.6369319999999999	3855768.12	2	0.6723300000000001	3953142.82
3999999	0.736	0.035	0.03277267201940454	1	0.6890320000000001	4036683.46	3	0.7002700000000001	4028616.14	1	0.68112	4042427.78	3	0.7023560000000001	4025615.96
3999999	0.6909	0.035	0.03549013243707785	1	0.613768	4030760.76	1	0.584804	4083443.8	2	0.584804	4083443.8	1	0.584804	4083443.8
3999999	0.1862	0.035	0.039085419091400814	1	0.21155800000000002	3799879.7	2	0.21212199999999995	3809220.4	1	0.21155800000000002	3799879.7	2	0.21053999999999998	3817403.38
3999999	0.7585	0.035	0.035581366240533215	1	0.702562	4023552.26	6	0.731494	3956686.94	1	0.7025620000000002	4023552.26	8	0.7281859999999999	3935538.68
3999999	0.3339	0.035	0.03346323432482153	1	0.36201600000000006	4063396.4	1	0.36201600000000006	4063396.4	1	0.36085999999999996	4084186.6	1	0.36201600000000006	4063396.4
3999999	0.4115	0.035	0.036479775200912945	1	0.415394	4032004.48	1	0.415394	4032004.48	1	0.41539399999999993	4032004.48	1	0.41714	4035331.7
3999999	0.8366	0.035	0.031668474778871275	1	0.732712	3901028.32	6	0.7187520000000001	4095293.96	1	0.729118	3933558.32	20	0.678866	4159398.86
3999999	0.6541	0.035	0.033602318691697365	1	0.638634	3929155.14	1	0.638634	3929155.14	1	0.638634	3929155.14	1	0.6359360000000001	3952717.44
3999999	0.5955	0.035	0.03381332735356865	1	0.6006620000000001	4019954.82	1	0.603166	4034780.18	1	0.6106959999999999	4059936.32	1	0.603166	4034780.18
3999999	0.8848	0.035	0.033360006377097726	5	0.6874539999999999	3825545.48	190	0.680402	3817455.32	8	0.7283820000000002	3869177.26	212	0.6025900000000001	3727698.44
3999999	0.6955	0.035	0.03334377626586002	1	0.658608	3951297.2	1	0.65589	3974532.1	1	0.65731	3933183.66	1	0.65589	3974532.1
3999999	0.5417	0.035	0.03362116838159946	1	0.48748	3839261.26	1	0.48385200000000006	3845345.98	1	0.48748	3839261.26	1	0.484988	3859255.76
3999999	0.4938	0.035	0.03527160738200225	1	0.501528	3931278.16	20	0.47153600000000007	3822265.74	2	0.48913000000000006	3991648.2	25	0.451332	3787481.18
3999999	0.5139	0.035	0.033059610085252565	1	0.4381600000000001	4002477.1	2	0.4381600000000001	4002477.1	1	0.4381600000000001	4002477.1	2	0.4381600000000001	4002477.1
3999999	0.764	0.035	0.03265448592186213	1	0.6389379999999999	3936612.5	72	0.628438	3853456.76	67	0.630696	3857122.06	82	0.615512	3838920.64
3999999	0.629	0.035	0.03466939105117753	1	0.5797140000000001	4066568.24	1	0.5224920000000001	4140659.74	1	0.5950859999999999	4050195.14	2	0.520104	4186432.8
3999999	0.7868	0.035	0.03450052183152001	2	0.760532	3998662.0	11	0.7281780000000002	4035562.9	11	0.7303000000000001	4029979.72	25	0.7176699999999999	4075042.56
3999999	0.8924	0.035	0.031183403379720233	1	0.7665820000000001	3954370.16	19	0.7783239999999999	4096700.6	22	0.7716280000000001	4101357.54	21	0.770286	4131478.76
3999999	0.8587	0.035	0.03304904162415207	1	0.755624	3966458.52	16	0.7479359999999999	3916546.76	12	0.743424	3917911.72	12	0.743424	3917911.72
3999999	0.7658	0.035	0.036733351999910235	1	0.68908	4006576.74	8	0.7152459999999999	3953799.5	8	0.7152459999999999	3953799.5	16	0.7205840000000001	3930352.34
3999999	0.4165	0.035	0.032991260495215245	1	0.39982600000000007	4009527.8	13	0.4232039999999999	4052309.76	10	0.39625000000000005	4002938.8	14	0.4235359999999999	4055446.14
3999999	0.8708	0.035	0.030982855235834043	1	0.7534320000000001	3909627.9	1	0.7603579999999998	3961843.42	45	0.7124799999999999	4198631.7	18	0.7664839999999999	4055400.84
3999999	0.7399	0.035	0.03474257665531324	1	0.6565059999999999	4031043.18	77	0.569022	4175578.28	1	0.6565059999999999	4031043.18	96	0.5453819999999999	4200724.7
3999999	0.8561	0.035	0.03251335242098998	1	0.6852839999999999	3955233.06	1	0.6807199999999999	3991384.56	33	0.704612	4143230.6	1	0.6807199999999999	3991384.56
3999999	0.6931	0.035	0.0332760830026293	1	0.65012	3983045.16	19	0.583536	3776198.0	89	0.564172	3732707.72	35	0.574868	3757344.54
3999999	0.2852	0.035	0.03227987870147389	1	0.296296	4009786.52	1	0.300032	3999702.4	1	0.303918	3989433.88	1	0.303918	3989433.88
3999999	0.7852	0.035	0.032834857400343934	1	0.7194280000000001	3998101.48	5	0.7185880000000001	4115665.86	5	0.72099	4122743.2	5	0.72099	4122743.2
3999999	0.2799	0.035	0.035461175882086284	1	0.26899	4051674.58	1	0.26898999999999995	4051674.58	1	0.27177999999999997	4040481.62	1	0.26899	4051674.58
3999999	0.1803	0.035	0.03397802116994518	1	0.2327	4035369.34	1	0.238084	4077603.44	2	0.24172600000000002	4130136.72	1	0.244128	4101400.16
3999999	0.8523	0.035	0.0349544871782584	1	0.832642	3975539.32	12	0.7962859999999999	4015412.7	12	0.796286	4015412.7	14	0.631924	4154853.76
3999999	0.8975	0.035	0.032637705179052706	1	0.7343760000000001	4002442.54	9	0.7054240000000002	3938741.0	73	0.737844	3871411.92	18	0.692758	3872115.78
3999999	0.8317	0.035	0.032740222783470635	1	0.7859340000000001	4036728.18	2	0.7830579999999999	4018442.9	28	0.707976	3824155.38	2	0.7830579999999999	4018442.9
3999999	0.4577	0.035	0.0361545998066203	1	0.4358420000000001	3948054.14	1	0.439492	3956401.64	1	0.432932	4007821.8	1	0.432932	4007821.8
3999999	0.7697	0.035	0.035758626995425105	1	0.688488	4050700.54	1	0.6832340000000002	4099888.06	2	0.6832340000000002	4099888.06	2	0.6832340000000002	4099888.06
3999999	0.5962	0.035	0.03467939376605067	1	0.570434	3982737.28	22	0.531424	3860852.4	2	0.561008	3947653.78	38	0.5176740000000001	3840232.5
3999999	0.739	0.035	0.03369615937890034	1	0.62266	4045856.62	3	0.619422	4099651.3	3	0.619422	4099651.3	3	0.619422	4099651.3
3999999	0.8565	0.035	0.030491761126133915	1	0.7804020000000002	4094039.7	2	0.7749419999999999	4101350.5	25	0.7673059999999999	4122947.32	2	0.7749419999999999	4101350.5
3999999	0.6262	0.035	0.033270116128932985	1	0.62335	4047562.24	1	0.62522	4051230.28	1	0.62335	4047562.24	2	0.620968	4059807.88
3999999	0	0.035	0.03406138795221103	0	0.624184	3963190.44	0	0.61898	3957968.52	0	0.618386	4032252.84	0	0.618386	4032252.84
3999999	0.6538	0.035	0.03478637009258486	1	0.627668	4010892.26	6	0.545272	4146674.9	1	0.627668	4010892.26	11	0.5325679999999999	4186184.12
3999999	0.2282	0.035	0.03540396486748205	1	0.2741139999999999	3970135.06	3	0.279686	3959352.72	3	0.27841599999999994	3967380.24	3	0.27971999999999997	3958626.36
3999999	0.32	0.035	0.032995352806287195	1	0.33991	4027739.64	1	0.335952	3970746.24	1	0.34139200000000003	4034055.96	3	0.334598	3963096.0
3999999	0.7879	0.035	0.03463642565093787	1	0.7708440000000002	3990645.44	13	0.7555720000000001	4083385.14	2	0.7790819999999999	4023733.14	22	0.7344059999999999	4112445.06
3999999	0.8672	0.035	0.03169682591024117	1	0.7674560000000001	3914176.18	1	0.768216	3910617.86	1	0.7674559999999999	3914176.18	1	0.7674559999999999	3914176.18
3999999	0.4052	0.035	0.03349527715337893	1	0.405228	3833131.48	2	0.396746	3806908.06	1	0.40519799999999995	3857227.16	4	0.396746	3806908.06
3999999	0.2686	0.035	0.035572285914208565	1	0.28529	4025478.22	1	0.28529	4025478.22	1	0.292242	4036608.74	1	0.292242	4036608.74
3999999	0.881	0.035	0.0321669434859678	1	0.787442	3914561.4	2	0.77338	3989311.76	27	0.75303	4128378.38	4	0.7867620000000001	4069398.02
3999999	0.8374	0.035	0.033280913967043434	2	0.755434	4052227.64	10	0.736774	4099688.82	9	0.7424980000000001	4090733.28	11	0.7339780000000001	4103927.12
3999999	0.5712	0.035	0.0324891471417964	1	0.52048	4074258.36	1	0.525072	4065206.12	1	0.52048	4074258.36	1	0.52048	4074258.36
3999999	0.8	0.035	0.033070208570084005	1	0.721106	4039936.38	11	0.70426	4134268.48	145	0.61116	4289165.78	21	0.701354	4138052.12
3999999	0.6509	0.035	0.03387611509734263	1	0.5932540000000001	4046295.86	2	0.591874	3989423.02	5	0.6018979999999999	3947070.24	1	0.5932540000000001	4046295.86
3999999	0.7096	0.035	0.03360400281953712	2	0.563876	4200352.56	2	0.554	4211986.94	2	0.5455019999999999	4221924.48	2	0.5455019999999999	4221924.48
3999999	0.4604	0.035	0.035468496151582506	1	0.44566	3911484.64	1	0.45889199999999997	3894236.18	1	0.44566	3911484.64	1	0.45584	3900196.4
3999999	0.6903	0.035	0.03320859044495833	11	0.5516779999999999	3892799.46	6	0.600436	3887064.4	13	0.5830919999999999	3850347.88	13	0.594522	3867468.44
3999999	0.87	0.035	0.03251388481270144	1	0.7894899999999998	3950439.28	3	0.7815300000000001	4014534.82	28	0.846748	3934586.5	5	0.7494679999999999	4086678.74
3999999	0.3344	0.035	0.03424423379627074	1	0.34467800000000004	4135297.78	1	0.342106	4138091.04	1	0.34467800000000004	4135297.78	1	0.34467800000000004	4135297.78
3999999	0.7944	0.035	0.028994617427957295	1	0.6891980000000001	3883992.96	17	0.6835819999999999	3863756.1	11	0.6817559999999999	3866072.04	37	0.6761860000000002	3856997.76
3999999	0.1006	0.035	0.03096401998635109	1	0.169316	3918403.32	1	0.16974400000000003	3911572.26	1	0.16974400000000003	3911572.26	1	0.16958800000000004	3907680.32
3999999	0.3122	0.035	0.03527740207245901	1	0.32683600000000007	4089738.46	1	0.32683599999999996	4089738.46	1	0.32706599999999997	4111637.96	1	0.32706599999999997	4111637.96
3999999	0.4744	0.035	0.03484463505519566	1	0.48971	4053479.48	2	0.480296	4113323.8	1	0.48971	4053479.48	7	0.47969199999999995	4129804.42
3999999	0.1624	0.035	0.040981894747516304	1	0.152692	3759884.22	11	0.145034	3704943.5	2	0.152692	3759884.22	12	0.144772	3653974.12
3999999	0.2329	0.035	0.036248813460281734	1	0.22156599999999999	3939570.94	7	0.21966999999999998	3904773.1	4	0.222174	3911307.96	8	0.21966999999999995	3904773.1
3999999	0.419	0.035	0.035523512889154014	1	0.42130599999999996	3996996.94	4	0.416468	3953938.54	20	0.41665599999999997	3904847.78	11	0.42247799999999996	3917350.06
3999999	0.161	0.035	0.03448729319689083	1	0.18677199999999997	4080049.6	1	0.186772	4080049.6	2	0.18761399999999998	4070650.7	1	0.186966	4075557.28
