SELCOEF	ISWEEPSELCOEF	CLUESSELCOEF	CLUESSELCOEFSMALLSAMP
0.025	0.024000298831156893	0.005615234375000001	0.0031005859375000003
0.025	0.026654844795674204	0.0031494140625	0.0062011718750000005
0.025	0.02801486889096482	0.005517578125	0.00595703125
0.025	0.02800879675553246	0.02392578125	0.058007812500000006
0.025	0.029124612230298642	0.0076171875	0.03261718749999999
0.025	0.025587164542367584	0.0042480468750000005	0.005175781250000001
0.025	0.027532548254901625	0.004321289062500001	0.006909179687499999
0.025	0.028441955224072363	0.0107421875	0.015039062499999999
0.025	0.023592830604137843	0.003515625	0.0035888671875000003
0.025	0.024131905132946534	0.004199218750000001	0.015185546875
0.025	0.02477664267668215	0.007958984374999999	0.04677734375
0.025	0.026360160002464574	0.0032470703125	0.00526123046875
0.025	0.026853500404983226	0.005078125000000001	0.0068359375
0.025	0.026216143458024775	0.007861328125	0.021484375
0.025	0.02487373171488215	0.00394287109375	0.004833984375000001
0.025	0.029902957879532645	0.00380859375	0.013476562499999997
0.025	0.024384189856327326	0.0072265625	0.01669921875
0.025	0.026302717377265132	0.004858398437500001	0.004296875
0.025	0.029408213841335483	0.0140625	0.009375000000000001
0.025	0.023485739127628927	0.017773437500000003	0.008300781249999998
0.025	0.027214615017221198	0.013769531250000001	0.0646484375
0.025	0.025170927009000088	0.0033935546875	0.004345703125
0.025	0.02508993455600613	0.010351562500000001	0.05986328125
0.025	0.026769332175828293	0.006591796875000001	0.00703125
0.025	0.027203909586611317	0.007495117187500001	0.004711914062500001
0.025	0.02543038318739583	0.0072265625	0.0244140625
0.025	0.028843499735003615	0.004602050781250001	0.004589843750000001
0.025	0.027237708658403838	0.00377197265625	0.004809570312500001
0.025	0.02664400541730215	0.008911132812500002	0.007641601562499999
0.025	0.02665060064936632	0.005932617187499999	0.0080078125
0.025	0.02544547909567753	0.00478515625	0.005175781250000001
0.025	0.028484494859339755	0.010058593750000002	0.014355468750000001
0.025	0.02347736030458249	0.008837890625	0.02099609375
0.025	0.023150283260085204	0.004321289062500001	0.032617187500000006
0.025	0.025771843971251165	0.0052734375	0.005297851562500001
0.025	0.027135770463760738	0.005517578125	0.007812499999999999
0.025	0.027609382414648637	0.005615234375000001	0.0066894531250000005
0.025	0.028493428294736802	0.0071777343750000005	0.00673828125
0.025	0.023347122767130232	0.005566406250000001	0.0052734375
0.025	0.027240513994504237	0.006640625000000001	0.0053466796875
0.025	0.030520744505898943	0.004882812500000001	0.009277343750000002
0.025	0.02272641377377814	0.022656250000000003	0.1
0.025	0.02715558951419095	0.013110351562500002	0.018847656249999997
0.025	0.026809231542169427	0.008203125	0.0066162109375
0.025	0.02540650385172518	0.0039306640625	0.006298828125
0.025	0.027805098080038913	0.0047607421875	0.017871093750000004
0.025	0.029441137011152387	0.005810546875	0.020312500000000004
0.025	0.02294369053055996	0.010449218750000001	0.1
0.025	0.02816573214418184	0.0107666015625	0.004711914062500001
0.025	0.02641141541060624	0.008129882812500001	0.00810546875
0.025	0.02514936511256244	0.004077148437500001	0.005126953125000001
0.025	0.027050690687052438	0.006518554687500001	0.0068359375
0.025	0.0270966705148068	0.00478515625	0.0095703125
0.025	0.026253344035168213	0.002880859375	0.00732421875
0.025	0.022277790014055047	0.009814453125	0.0115234375
0.025	0.02717507010814444	0.007958984374999999	0.009423828125000002
0.025	0.03125889989850027	0.0054687500000000005	0.00732421875
0.025	0.02601843240832894	0.005517578125	0.0087890625
0.025	0.029649183077442343	0.010302734375	0.1
0.025	0.028083911736215213	0.00361328125	0.006103515625000001
0.025	0.027362798237969565	0.00673828125	0.012499999999999997
0.025	0.02959927875353838	0.0134765625	0.019140625
0.025	0.02742720215821998	0.010180664062500002	0.004931640625000001
0.025	0.028038227032181895	0.0232421875	0.1
0.025	0.026546459385180472	0.009130859375000001	0.00859375
0.025	0.026015793430789393	0.009716796875000003	0.0079345703125
0.025	0.030092601027186378	0.005566406250000001	0.02587890625
0.025	0.025586030678863555	0.009863281250000001	0.012304687500000001
0.025	0.0247707141029227	0.009375000000000001	0.01650390625
0.025	0.024173104544874126	0.012255859375	0.022753906250000004
0.025	0.025340647523815915	0.0037109375	0.004833984375000001
0.025	0.024723843253533266	0.007446289062500002	0.008154296875000001
0.025	0.025843844063139613	0.0022949218750000005	0.006396484375000001
0.025	0.026400630729927398	0.005859375	0.003125
0.025	0.025249569438894972	0.009130859375000001	0.010009765625000003
0.025	0.030661821887668285	0.00869140625	0.030859374999999994
0.025	0.023769273183004466	0.008544921875	0.009765624999999997
0.025	0.027255224514880154	0.011376953125000002	0.007568359375
0.025	0.026561412044225526	0.0107421875	0.0087890625
0.025	0.025883912162579854	0.00673828125	0.004541015625
0.025	0.025842794820973392	0.0076904296875	0.008447265625000002
0.025	0.023807163230033533	0.00791015625	0.01064453125
0.025	0.026804752999113814	0.006152343750000001	0.0146484375
0.025	0.024713280430525564	0.005322265625	0.030859375
0.025	0.02751289657711511	0.0032958984375000004	0.005126953125000001
0.025	0.0282935518199129	0.00673828125	0.016210937499999998
0.025	0.029196158162941188	0.010156250000000002	0.1
0.025	0.02941497719078021	0.00634765625	0.011523437499999997
0.025	0.026025065402628188	0.008154296875000001	0.013378906250000001
0.025	0.02619351454210025	0.0049072265625	0.005517578125
0.025	0.025664447026274267	0.004223632812500001	0.0032226562500000003
0.025	0.023906518301053916	0.012304687500000001	0.0705078125
0.025	0.024883610414590376	0.00361328125	0.003857421875
0.025	0.027553495031756584	0.0026611328125	0.0049926757812500016
0.025	0.027819786232874327	0.0037841796875	0.004956054687500001
0.025	0.02663409592940383	0.00478515625	0.0044189453125
0.025	0.02589639306354799	0.007299804687500001	0.004809570312500001
0.025	0.024626250884075898	0.00396728515625	0.00318603515625
0.025	0.02691427662650146	0.012634277343750003	0.004980468750000001
0.025	0.027563007710082243	0.02060546875	0.01806640625
0.025	0.02334763006266835	0.00396728515625	0.00533447265625
0.025	0.028626569479600617	0.006298828125	0.015429687499999997
0.025	0.02582531340189415	0.00401611328125	0.00263671875
0.025	0.025286908295800842	0.0038330078125	0.004577636718750001
0.025	0.02152461337417175	0.00428466796875	0.0054687500000000005
0.025	0.024156586773080996	0.001904296875	0.005810546875
0.025	0.027249714705339264	0.008398437500000001	0.005029296875000001
0.025	0.027884394993728658	0.0033935546875	0.0032470703125
0.025	0.02447329444527312	0.005126953125000001	0.00888671875
0.025	0.02626790902482424	0.004052734375	0.00576171875
0.025	0.025623345838852854	0.0032714843750000005	0.0049194335937500005
0.025	0.025652588650965435	0.0024414062500000004	0.00416259765625
0.025	0.025199113239878196	0.005200195312500001	0.00830078125
0.025	0.02872914747502152	0.005322265625	0.00361328125
0.025	0.026689394040401767	0.007495117187500001	0.0076171875
0.025	0.0237925793699156	0.005322265625	0.0043090820312500005
0.025	0.027177045474683057	0.003979492187499999	0.00478515625
0.025	0.02444702133309899	0.00592041015625	0.00478515625
0.025	0.027602238127483403	0.00830078125	0.032812499999999994
0.025	0.02469698235323959	0.0042480468750000005	0.00413818359375
0.025	0.025894587291797902	0.004467773437500001	0.0031982421875000003
0.025	0.02423381504202416	0.0053955078125	0.006958007812500002
0.025	0.02458484969156141	0.0037475585937499995	0.0038818359375
0.025	0.02700115789382378	0.00435791015625	0.005541992187500001
0.025	0.02838898930358716	0.00302734375	0.0041259765625
0.025	0.02919597149076868	0.0042724609375	0.00693359375
0.025	0.02409518131031735	0.006298828125	0.004541015625
0.025	0.02586443415312075	0.00416259765625	0.0057373046875
0.025	0.02810523705439622	0.0042480468750000005	0.00452880859375
0.025	0.025978739372674704	0.0030151367187500003	0.00550537109375
0.025	0.026853493337820455	0.0038696289062500003	0.005419921875000001
0.025	0.026835407021728545	0.0033203125000000003	0.003369140625
0.025	0.027464750271385452	0.0028442382812500005	0.00400390625
0.025	0.023956677201472	0.0051513671875	0.0057373046875
0.025	0.024243910526810634	0.004345703125	0.0054687500000000005
0.025	0.02464733258811717	0.00428466796875	0.0036376953125
0.025	0.025243684681371416	0.004577636718750001	0.003979492187499999
0.025	0.02471357912864145	0.0054687500000000005	0.029003906249999996
0.025	0.025335137962240715	0.00380859375	0.0051513671875
0.025	0.026113193423934273	0.00390625	0.0058837890625
0.025	0.027081925986503098	0.00341796875	0.004589843750000001
0.025	0.025186569061583484	0.0064453125000000005	0.0063232421875
0.025	0.02559567753632649	0.004980468750000001	0.00634765625
0.025	0.02652717038256428	0.006103515625	0.00521240234375
0.025	0.02599314385021212	0.002978515625	0.0039306640625
0.025	0.02705487486239091	0.004467773437500001	0.0066162109375
0.025	0.023235459058188412	0.0052856445312500005	0.00380859375
0.025	0.025195287165966383	0.004980468750000001	0.0067504882812500005
0.025	0.02523794031266112	0.003857421875	0.0037841796875
0.025	0.027728169355970722	0.005932617187499999	0.006884765625
0.025	0.02416230403055099	0.004882812500000001	0.0034423828125
0.025	0.026731238565779573	0.004345703125	0.005664062500000001
