POS	AAF	ISWEEPRANK	ISWEEPAAF	ISWEEPLOC	ISAFERANK	ISAFEAAF	ISAFELOC	SELCOEF	ISWEEPSELCOEF
3999999	0.6688	1	0.622672	3980100.24	1	0.64158	3996768.0	0.025	0.025195287165966383
3999999	0.6373	1	0.617476	4039089.36	2	0.628704	4037865.84	0.025	0.02523794031266112
3999999	0.499	1	0.45590400000000003	3973754.48	1	0.471292	3966869.04	0.025	0.027728169355970722
3999999	0.7495	1	0.6694	4023958.2	2	0.718108	3954850.84	0.025	0.02416230403055099
3999999	0.7088	1	0.674316	3983054.32	1	0.6990479999999999	3989199.4	0.025	0.026731238565779573
3999999	0.7688	1	0.7211079999999999	4075967.48	4	0.7559840000000001	4051716.32	0.025	0.026643466686716934
3999999	0.7013	1	0.6241879999999999	3917644.36	2	0.632844	3910719.32	0.025	0.02514355261794236
3999999	0.7621	1	0.64132	4102529.8	14	0.6439159999999999	4101358.76	0.025	0.025986002534642897
3999999	0.8174	2	0.680404	3840543.24	18	0.692364	3851328.44	0.025	0.02520831853093914
3999999	0.4698	1	0.38967199999999996	4120512.92	1	0.4265520000000001	4074822.08	0.025	0.02563381400628814
3999999	0.6853	1	0.6196240000000001	3947241.52	1	0.6256400000000001	3957336.52	0.025	0.024489681442273068
3999999	0.6077	2	0.572056	4051305.32	3	0.563184	4057534.16	0.025	0.026317790421545553
3999999	0.5889	1	0.5602239999999999	4001436.8	2	0.595016	4013953.0	0.025	0.02537104662216874
3999999	0.3672	2	0.33087200000000005	3889405.36	18	0.30834	3857367.08	0.025	0.026364396069314355
3999999	0.4761	1	0.417	3918228.76	1	0.42682000000000003	3927459.08	0.025	0.025950301201118842
3999999	0.5753	1	0.6096480000000001	4009873.64	2	0.603652	4000241.2	0.025	0.027652239515116202
3999999	0.4584	1	0.35600399999999993	3851479.2	4	0.402992	3831677.52	0.025	0.02665596897596834
3999999	0.3702	1	0.364488	4023336.12	6	0.3519839999999999	4054071.8	0.025	0.026180503920519006
3999999	0.7221	1	0.654568	4069578.52	4	0.6694119999999999	4086980.16	0.025	0.02486197831378226
3999999	0.7533	1	0.6714239999999999	3964612.64	6	0.69998	3982762.56	0.025	0.024864185792768684
3999999	0.7568	2	0.643856	4086540.76	2	0.7009880000000002	4082284.48	0.025	0.023836153198051057
3999999	0.7048	1	0.6467480000000001	3945612.12	8	0.6729559999999999	3928788.64	0.025	0.026753303010635377
3999999	0.8665	1	0.726952	4088959.2	1	0.7925279999999999	4042845.48	0.025	0.02356993642052217
3999999	0.696	1	0.641024	4011943.04	1	0.6771719999999999	3993614.44	0.025	0.024998336426579303
3999999	0.2185	1	0.20814799999999997	4120254.32	11	0.208332	4110225.44	0.025	0.02879207822335822
3999999	0.7614	1	0.7198359999999999	4016028.16	2	0.7186239999999999	4036010.88	0.025	0.026593068015547693
3999999	0.1913	1	0.191112	4078343.52	2	0.211732	3969829.16	0.025	0.027400077050434637
3999999	0.4722	1	0.42012800000000006	3921936.28	3	0.400268	4013860.44	0.025	0.028455844796431498
3999999	0.1018	1	0.19020000000000004	3971481.76	23	0.450392	3975002.52	0.025	0.02563116627497942
3999999	0.6294	1	0.574784	3965565.92	4	0.5993320000000001	3956488.04	0.025	0.02461917306165289
3999999	0.3353	1	0.40494	4040483.76	2	0.517176	4031118.92	0.025	0.025514756902525953
3999999	0.8516	1	0.756836	4080583.88	5	0.7338800000000001	4096116.72	0.025	0.023903557400892433
3999999	0.8549	1	0.8150320000000001	3986929.56	1	0.814416	3966033.04	0.025	0.02802276909809209
3999999	0.5958	1	0.531656	4116492.12	2	0.545612	4107144.56	0.025	0.02731184099856929
3999999	0.5235	1	0.4775919999999999	4070073.0	6	0.48840399999999995	4085334.68	0.025	0.026313763174127522
3999999	0.7618	2	0.714012	3934579.36	3	0.7095360000000001	3929674.0	0.025	0.0225475439270641
3999999	0.8036	1	0.721656	4000756.6	4	0.7531479999999999	3951181.04	0.025	0.025710551517447753
3999999	0.7173	1	0.661592	4048335.84	9	0.6628439999999999	4065136.24	0.025	0.0241606636497617
3999999	0.8534	1	0.723788	4049494.04	2	0.756084	4015939.4	0.025	0.023584003680358134
3999999	0.6552	1	0.611224	4078768.36	11	0.61602	4091666.28	0.025	0.025309295213573575
3999999	0.3533	1	0.32388	3880122.84	5	0.34765999999999997	3876350.28	0.025	0.029006623823712212
3999999	0.7469	1	0.6606879999999999	4107434.16	6	0.7073799999999999	4071215.64	0.025	0.026330192558449973
3999999	0.3331	3	0.288868	3913974.72	8	0.306032	3869691.08	0.025	0.024704571626232446
3999999	0.6871	1	0.635264	3947391.36	2	0.65152	3951053.72	0.025	0.026397519810854798
3999999	0.7387	5	0.653192	3988241.28	3	0.684064	3970771.72	0.025	0.024777472837825647
3999999	0.8897	3	0.746972	4129660.44	7	0.7563840000000001	4124170.12	0.025	0.023546109728121493
3999999	0.6046	1	0.607184	4062107.64	2	0.610152	4056079.16	0.025	0.026633718853266736
3999999	0.2583	1	0.27994399999999997	4037653.12	2	0.29863600000000007	3983610.48	0.025	0.024000298831156893
3999999	0.5306	2	0.505	4033823.2	3	0.518632	3972497.52	0.025	0.026654844795674204
3999999	0.2303	1	0.20701999999999998	3963880.96	5	0.189124	3945192.36	0.025	0.02801486889096482
3999999	0	0	0.28474799999999995	4016217.2	0	0.302972	3916098.24	0.025	0.027744681011891963
3999999	0.1004	1	0.17851199999999998	3932329.44	19	0.4878	3822724.12	0.025	0.02800879675553246
3999999	0.1582	1	0.17914000000000002	3996109.04	2	0.2921	4012692.56	0.025	0.029124612230298642
3999999	0.4035	1	0.400636	3956832.84	5	0.42452400000000007	3929579.16	0.025	0.025587164542367584
3999999	0.3648	1	0.34080799999999994	4121676.6	1	0.374808	4054187.88	0.025	0.027532548254901625
3999999	0.1461	1	0.140248	4147135.6	16	0.138192	4187975.84	0.025	0.028441955224072363
3999999	0.3555	1	0.32921599999999995	3926352.08	3	0.358764	3993897.92	0.025	0.023592830604137843
3999999	0.3423	1	0.331128	4034048.24	10	0.333492	4034868.64	0.025	0.024131905132946534
3999999	0.1223	1	0.19441200000000003	4073875.96	3	0.306884	3993578.64	0.025	0.02477664267668215
3999999	0.523	1	0.521436	4036163.48	1	0.539968	4033884.96	0.025	0.026360160002464574
3999999	0.2341	1	0.25424	3977798.56	3	0.29872399999999993	3885774.88	0.025	0.026853500404983226
3999999	0.2263	1	0.20865999999999996	3953965.56	4	0.33086800000000005	3801317.0	0.025	0.026216143458024775
3999999	0.5449	2	0.445748	4102548.24	3	0.48623599999999995	4053159.92	0.025	0.02487373171488215
3999999	0.221	1	0.213536	4109880.48	3	0.21687599999999999	4105445.24	0.025	0.029902957879532645
