POS	AAF	ISWEEPRANK	ISWEEPAAF	ISWEEPLOC	ISAFERANK	ISAFEAAF	ISAFELOC	SELCOEF	ISWEEPSELCOEF
3999999	0.2416	1	0.24822799999999998	3915853.64	8	0.23324800000000004	3835594.04	0.03	0.02883204326070274
3999999	0.2312	1	0.233214	4204481.4	4	0.250338	4183800.26	0.03	0.025932324008252936
3999999	0.2304	5	0.255106	3868028.06	7	0.228384	3757502.3	0.03	0.03206422862917431
3999999	0.3882	1	0.397146	3866117.6	5	0.398122	3850387.06	0.03	0.029791802398687818
3999999	0.5696	2	0.556228	4077794.16	1	0.558012	4078817.5	0.03	0.031022476667834364
3999999	0.6495	1	0.5781999999999999	3904834.76	1	0.5483919999999999	3865778.24	0.03	0.03265506512579161
3999999	0.1706	1	0.17644	3947254.82	10	0.212236	3781843.54	0.03	0.027432834221661886
3999999	0.1616	1	0.17036400000000002	4202652.06	6	0.170556	4204475.16	0.03	0.03051606417196571
3999999	0.336	1	0.32223	4061797.1	2	0.357248	3960173.02	0.03	0.029360418322177933
3999999	0.4959	2	0.454838	3965817.68	1	0.49575600000000003	4051036.38	0.03	0.028442434837139874
3999999	0.4311	1	0.41562000000000004	4036763.48	2	0.42435	4028900.22	0.03	0.027620495398825468
3999999	0.4635	1	0.45666399999999996	4091662.0	1	0.447166	4029225.22	0.03	0.031429241921557736
3999999	0.3183	1	0.331588	3983829.52	1	0.318242	3933476.56	0.03	0.030955126600999423
3999999	0.3972	1	0.400566	4078822.72	2	0.397688	4104626.74	0.03	0.030144412386171687
3999999	0.3951	1	0.4117679999999999	3998511.42	4	0.41603999999999997	4038152.52	0.03	0.03058845177376475
3999999	0.5674	1	0.581584	3934812.4	1	0.59015	3954901.28	0.03	0.03353502734587644
3999999	0.3474	1	0.38072799999999996	3900935.74	2	0.305956	4103781.48	0.03	0.03010679241517187
3999999	0.4611	1	0.445606	4062929.42	1	0.466572	4076480.5	0.03	0.033275020198360906
3999999	0.2307	1	0.217026	4067395.98	9	0.245238	4163349.0	0.03	0.029562699252624502
3999999	0.3198	1	0.28883	3977650.02	2	0.344632	3915381.26	0.03	0.029769155120116388
3999999	0.5295	1	0.52058	4021005.84	1	0.512528	4015546.68	0.03	0.03388937270826602
3999999	0.1042	1	0.161848	4176315.54	4	0.14525	4218530.5	0.03	0.02457413315103262
3999999	0.6893	1	0.6943260000000001	3968866.48	1	0.682888	3963316.86	0.03	0.031390431956789144
3999999	0.1475	1	0.16546400000000003	3963325.5	5	0.1671	4027851.5	0.03	0.02279974215841067
3999999	0.565	1	0.5789399999999999	4021883.08	2	0.5774959999999999	4029909.86	0.03	0.033691239764152524
3999999	0.12	2	0.12308999999999999	4083193.92	6	0.15328	3961288.38	0.03	0.028524962886573486
3999999	0.1766	1	0.18197599999999997	3877593.8	6	0.19523800000000002	3760481.86	0.03	0.03501215411867192
3999999	0.35	6	0.33008000000000004	3963501.62	3	0.339404	3956105.66	0.03	0.030738079967122266
3999999	0.7147	1	0.65865	4039448.76	1	0.649922	4055800.64	0.03	0.026710175417873745
3999999	0.1793	1	0.217138	4052011.48	4	0.204756	4038713.94	0.03	0.018134592448119626
3999999	0.1417	2	0.17612199999999995	3924682.5	1	0.23428199999999996	3986631.14	0.03	0.023331322446502142
3999999	0.1249	1	0.1458	3850237.1	9	0.22113599999999997	3860863.24	0.03	0.03709984641626022
3999999	0.2239	1	0.21248199999999998	4000256.32	1	0.210996	3970364.46	0.03	0.03075765487064027
3999999	0.1688	1	0.19688000000000003	3979125.5	1	0.16408600000000004	4102876.6	0.03	0.03312608928730041
3999999	0.5781	1	0.571522	3974555.6	3	0.573996	3993429.22	0.03	0.024997737694156127
3999999	0.1833	1	0.177346	4018301.32	2	0.239484	3958699.12	0.03	0.028456460239976195
3999999	0.3754	1	0.376266	4033419.2	7	0.37289	4022757.14	0.03	0.031881613400626105
3999999	0.5906	2	0.518296	3899407.2	1	0.529802	3926475.52	0.03	0.032239837657635995
3999999	0.1208	1	0.15603599999999998	4110618.12	2	0.176066	4121775.94	0.03	0.021000002655381846
3999999	0.1131	21	0.15238	4015822.24	8	0.159062	3966561.96	0.03	0.024295007316650474
3999999	0.3152	1	0.320542	4017034.96	1	0.33931799999999995	4048858.74	0.03	0.03076075678581402
3999999	0.1211	1	0.165468	4025377.24	7	0.22278000000000003	4109386.32	0.03	0.03153021088400171
3999999	0.4694	1	0.48902199999999996	3968117.94	2	0.48858199999999996	3964251.0	0.03	0.027824466057556545
3999999	0.3965	1	0.418804	3997362.74	1	0.392638	4076744.28	0.03	0.028560940369290244
3999999	0.6091	1	0.564848	3908917.96	2	0.553436	3900289.68	0.03	0.02666570552795952
3999999	0.1847	1	0.19703799999999996	4056219.64	1	0.20034000000000007	4050934.5	0.03	0.03386229834664557
3999999	0.3054	1	0.32730600000000004	3928220.02	4	0.31896	3900725.12	0.03	0.025288703422165673
3999999	0.1605	1	0.17447600000000002	3878838.98	3	0.219548	3993692.8	0.03	0.03256751664634826
3999999	0.4978	1	0.505744	4030681.5	6	0.522222	4027798.26	0.03	0.029088138491496513
3999999	0.2291	2	0.24973399999999998	3933836.34	9	0.253912	3937600.24	0.03	0.02724896063310907
3999999	0.7043	1	0.698136	4030615.78	1	0.611398	3948644.88	0.03	0.03129523938018049
3999999	0	0	0.29480599999999996	4019963.9	0	0.287888	3965824.94	0.03	0.030413632814237652
