TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG	UPP	COV
MISMUL	m	0.03	0.02999596568057311	4.0343194268877e-06	0.026677431079479674	0.02999596568057311	0.03331450028166655	0.9541
MISMUL	a	0.03	0.03015248930298402	-0.000152489302984022	0.026795314599070072	0.03015248930298402	0.03350966400689798	0.9518
MISMUL	d	0.03	0.03747294582836206	-0.007472945828362061	0.03320429002131306	0.03747294582836206	0.04174160163541105	0.0125
MISMUL	r	0.03	0.21686154201703317	-0.18686154201703317	0.1859660506176805	0.21686154201703317	0.24775703341638586	0.0
