TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG	UPP	COV
CM	1.0	0.03	0.030079406566355583	-7.940656635558457e-05	0.020181918221411518	0.030079406566355583	0.039976894911299646	0.9243
CM	2.0	0.03	0.029955449243003557	4.4550756996442065e-05	0.02439917963940028	0.029955449243003557	0.035511718846606824	0.9495
CM	3.0	0.03	0.030022218943040878	-2.2218943040878958e-05	0.02707946343236017	0.030022218943040878	0.032964974453721575	0.954
CM	4.0	0.03	0.030419486283828637	-0.00041948628382863784	0.026115012542054818	0.030419486283828637	0.034723960025602456	0.9797
