TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG.1	UPP	COV	AF1	TRUETIME1	MEDTIME1	AF2	TRUETIME2	MEDTIME2
MISMUL	m	0.03	0.0299959656805731	4.0343194268877e-06	0.0266774310794796	0.0299959656805731	0.0333145002816665	0.9541	0.05	133	99	0.01	189	157
MISMUL	a	0.03	0.030152489302984	-0.000152489302984	0.02679531459907	0.030152489302984	0.0335096640068979	0.9518	0.05	132	101	0.01	185	155
MISMUL	d	0.03	0.037472945828362	-0.007472945828362	0.033204290021313	0.037472945828362	0.041741601635411	0.0125	0.05	133	106	0.01	189	155
MISMUL	r	0.03	0.2168615420170331	-0.1868615420170331	0.1859660506176805	0.2168615420170331	0.2477570334163858	0.0	0.05	130	98	0.01	187	289
